iter	Passed	Remaining
675	1738	833
676	1741	830
677	1743	828
678	1746	825
679	1748	822
680	1751	820
681	1753	817
682	1756	815
683	1758	812
684	1761	810
685	1764	807
686	1766	804
687	1769	802
688	1771	799
689	1773	796
690	1776	794
691	1778	791
692	1781	789
693	1783	786
694	1786	784
695	1789	781
696	1792	779
697	1794	776
698	1797	774
699	1800	771
700	1802	769
701	1805	766
702	1808	763
703	1810	761
704	1813	758
705	1815	756
706	1818	753
707	1820	750
708	1823	748
709	1826	745
710	1828	743
711	1831	740
712	1833	738
713	1836	735
714	1839	733
715	1841	730
716	1843	727
717	1846	725
718	1849	722
719	1851	720
720	1854	717
721	1856	715
722	1859	712
723	1862	709
724	1864	707
725	1867	704
726	1869	702
727	1872	699
728	1874	696
729	1877	694
730	1879	691
731	1882	689
732	1884	686
733	1887	683
734	1889	681
735	1892	678
736	1894	676
737	1897	673
738	1899	670
739	1902	668
740	1904	665
741	1907	663
742	1909	660
743	1912	657
744	1914	655
745	1917	652
746	1919	650
747	1922	647
748	1924	644
749	1926	642
750	1929	639
751	1931	637
752	1934	634
753	1936	631
754	1939	629
755	1941	626
756	1944	624
757	1947	621
758	1949	619
759	1952	616
760	1954	613
761	1957	611
762	1960	608
763	1962	606
764	1965	603
765	1967	601
766	1970	598
767	1972	595
768	1975	593
769	1977	590
770	1980	588
771	1982	585
772	1985	583
773	1988	580
774	1991	578
775	1994	575
776	1996	573
777	1999	570
778	2001	567
779	2004	565
780	2006	562
781	2009	560
782	2011	557
783	2014	554
784	2017	552
785	2019	549
786	2022	547
787	2024	544
788	2027	542
789	2029	539
790	2032	536
791	2034	534
792	2037	531
793	2039	529
794	2042	526
795	2045	524
796	2047	521
797	2050	519
798	2052	516
799	2055	513
800	2057	511
801	2060	508
802	2063	506
803	2065	503
804	2068	501
805	2070	498
806	2073	495
807	2076	493
808	2078	490
809	2081	488
810	2083	485
811	2086	483
812	2089	480
813	2091	477
814	2093	475
815	2096	472
816	2098	470
817	2101	467
818	2104	465
819	2106	462
820	2109	459
821	2111	457
822	2114	454
823	2117	452
824	2119	449
825	2122	447
826	2124	444
827	2127	441
828	2129	439
829	2132	436
830	2134	434
831	2137	431
832	2139	429
833	2142	426
834	2145	423
835	2148	421
836	2150	418
837	2153	416
838	2155	413
839	2158	411
840	2160	408
841	2163	405
